BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
3,Brooklyn,047,BK09,Brooklyn Heights-Cobble Hill,14253.6713445,9984666.11208
3,Brooklyn,047,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32546.1319301,28477084.9305
4,Queens,081,QN12,Hammels-Arverne-Edgemere,83820.1012824,61904102.9973
4,Queens,081,QN15,Far Rockaway-Bayswater,49221.9171143,54350581.6162
4,Queens,081,QN19,Glendale,41405.5073693,29973142.611
5,Staten Island,085,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,71279.2844803,140798787.656
5,Staten Island,085,SI11,Charleston-Richmond Valley-Tottenville,84932.9856515,145851899.548
3,Brooklyn,047,BK82,East New York,88789.4670558,117168836.955
3,Brooklyn,047,BK83,Cypress Hills-City Line,35571.7268831,27607486.9746
4,Queens,081,QN57,Lindenwood-Howard Beach,78408.1907489,63887537.6349
2,Bronx,005,BX29,Spuyten Duyvil-Kingsbridge,27993.8240421,23213159.895
1,Manhattan,061,MN01,Marble Hill-Inwood,31845.3222859,17732492.448
1,Manhattan,061,MN03,Central Harlem North-Polo Grounds,29188.5324303,25437334.4958
1,Manhattan,061,MN99,park-cemetery-etc-Manhattan,155018.239593,91540822.4803
4,Queens,081,QN35,Briarwood-Jamaica Hills,30081.9321077,29408862.3098
4,Queens,081,QN61,Jamaica,43696.3647225,47308036.5466
5,Staten Island,085,SI25,Oakwood-Oakwood Beach,44289.9681944,55954179.9269
5,Staten Island,085,SI45,New Dorp-Midland Beach,34339.0918276,55434780.7921
2,Bronx,005,BX17,East Tremont,29630.683315,19256025.1682
2,Bronx,005,BX75,Crotona Park East,24748.0501857,16316639.9761
4,Queens,081,QN63,Woodside,27872.1859801,28245720.1891
4,Queens,081,QN99,park-cemetery-etc-Queens,490196.435015,311674642.497
2,Bronx,005,BX49,Pelham Parkway,25817.5289183,23031690.41
4,Queens,081,QN76,Baisley Park,31475.0952535,44043134.6277
4,Queens,081,QN01,South Jamaica,32122.5521386,39971928.7898
2,Bronx,005,BX07,Bronxdale,17430.1961819,15186465.1762
2,Bronx,005,BX31,Allerton-Pelham Gardens,25465.8706606,31692871.5369
2,Bronx,005,BX10,Pelham Bay-Country Club-City Island,139351.0233,40245928.4906
2,Bronx,005,BX99,park-cemetery-etc-Bronx,224088.291794,220879115.435
3,Brooklyn,047,BK32,Sunset Park West,84548.0445373,50064201.5363
3,Brooklyn,047,BK34,Sunset Park East,25948.7680937,27125857.4097
